sehir,ilce,ev_tipi,metrekare,oda_sayisi,salon_sayisi,banyo_sayisi,bina_yasi,bina_kat_sayisi,bulundugu_kat,balkon,asansor,park_yeri,site_icinde,esyali,isinma_turu,fiyat_tl
Konya,Akşehir,1+0,37,1,0,1,8,20,2,True,True,False,True,True,Merkezi,300000
İzmir,Menderes,4+1,63,4,1,3,11,3,0,False,False,False,False,True,Kombi,632406
Mersin,Akdeniz,5+2,92,5,2,3,7,25,25,True,True,False,True,False,Klima,777970
İzmir,Buca,3+2,112,3,2,2,18,25,8,True,False,False,True,True,Merkezi,997308
Adana,Aladağ,4+1,98,4,1,3,28,25,13,False,False,True,False,False,Doğalgaz,391628
Bursa,Orhangazi,5+2,133,5,2,3,28,8,4,True,False,False,True,True,Klima,1188233
Konya,Selçuklu,3+1,67,3,1,2,7,20,11,False,True,True,True,False,Merkezi,384711
İstanbul,Gaziosmanpaşa,5+1,78,5,1,3,2,30,4,False,False,True,True,True,Klima,1477871
Adana,Aladağ,4+2,101,4,2,3,14,7,2,False,False,True,False,True,Kombi,643887
Bursa,Orhangazi,4+2,108,4,2,3,43,8,1,True,False,True,False,False,Elektrik,698986
Antalya,Kalkan,2+2,79,2,2,2,5,25,11,True,False,True,False,True,Elektrik,1406803
Ankara,Altındağ,3+2,86,3,2,2,29,30,9,True,True,True,True,False,Merkezi,1103627
Ankara,Keçiören,3+1,79,3,1,2,19,15,4,False,False,True,False,True,Merkezi,688012
Kayseri,İncesu,4+1,65,4,1,3,9,3,2,False,True,False,True,False,Klima,427744
Adana,Seyhan,2+2,75,2,2,2,3,7,3,True,True,True,True,False,Kombi,661559
İzmir,Torbalı,5+2,125,5,2,3,48,6,0,True,True,True,False,True,Klima,1031093
İstanbul,Maltepe,2+1,49,2,1,2,12,5,4,True,True,True,True,False,Kombi,653060
Kayseri,Talas,1+0,35,1,0,1,1,5,2,False,True,True,False,False,Soba,300000
Mersin,Tarsus,1+1,49,1,1,1,10,12,8,True,False,False,True,True,Merkezi,300000
Gaziantep,Nizip,1+1,48,1,1,1,16,12,11,True,False,True,True,True,Soba,324645
Kayseri,Develi,4+2,84,4,2,3,20,30,10,False,False,False,True,True,Elektrik,464884
Mersin,Erdemli,3+1,71,3,1,2,9,10,7,False,False,False,False,True,Soba,366376
Gaziantep,Oğuzeli,4+1,88,4,1,3,29,8,2,True,True,True,True,False,Doğalgaz,409336
Adana,Kozan,2+1,71,2,1,2,25,15,1,False,True,False,False,False,Elektrik,317018
İstanbul,Pendik,5+2,83,5,2,3,4,7,5,True,True,False,True,True,Soba,1510840
Mersin,Toroslar,1+1,51,1,1,1,44,7,3,True,False,True,True,False,Elektrik,300000
Antalya,Alanya,5+1,104,5,1,3,35,3,1,False,True,True,True,True,Elektrik,1877611
Mersin,Mezitli,2+2,88,2,2,2,12,10,7,False,False,False,True,True,Kombi,699257
İzmir,Torbalı,5+2,136,5,2,3,14,3,0,False,False,False,False,False,Kombi,1075592
Mersin,Yenişehir,5+1,89,5,1,3,15,10,1,False,False,True,True,False,Klima,605597
İstanbul,Beşiktaş,3+1,60,3,1,2,35,7,3,False,False,False,True,True,Merkezi,914912
Gaziantep,Şehitkamil,2+1,53,2,1,2,27,10,8,False,True,False,True,False,Doğalgaz,300000
Konya,Meram,5+1,138,5,1,3,24,20,13,False,False,True,False,True,Soba,444365
İzmir,Torbalı,5+2,130,5,2,3,11,12,11,False,True,True,False,False,Klima,1032021
Ankara,Pursaklar,4+1,75,4,1,3,8,30,10,True,True,True,True,False,Soba,1166309
İzmir,Buca,1+1,47,1,1,1,7,5,2,True,True,True,False,False,Klima,438573
Kayseri,İncesu,5+2,98,5,2,3,23,25,20,False,True,False,True,False,Merkezi,491965
Antalya,Aksu,5+2,98,5,2,3,21,3,2,False,False,False,True,True,Soba,1092674
Antalya,Kepez,1+1,47,1,1,1,24,20,19,False,True,False,True,False,Klima,407730
Konya,Akşehir,2+1,84,2,1,2,2,3,3,True,True,True,True,False,Merkezi,691245
Mersin,Tarsus,5+2,68,5,2,3,13,5,2,False,False,False,True,False,Doğalgaz,396035
Adana,Seyhan,4+2,89,4,2,3,13,25,12,True,False,True,True,False,Soba,611978
Gaziantep,Şehitkamil,5+2,96,5,2,3,2,30,30,False,False,True,True,False,Klima,611060
Adana,Seyhan,5+1,104,5,1,3,8,7,2,False,True,True,True,True,Doğalgaz,985941
Antalya,Kepez,4+2,78,4,2,3,28,15,1,True,False,True,True,True,Elektrik,824126
Kayseri,Kocasinan,3+2,82,3,2,2,12,3,3,False,False,False,True,True,Soba,478081
Konya,Karatay,5+1,128,5,1,3,19,25,18,False,False,False,True,True,Klima,696643
İzmir,Seferihisar,4+1,62,4,1,3,42,3,3,True,True,False,True,True,Soba,648524
Konya,Akşehir,2+1,84,2,1,2,9,10,1,False,True,False,True,False,Klima,552781
Adana,Yüreğir,2+2,54,2,2,2,6,4,2,False,True,False,True,True,Doğalgaz,387950
Antalya,Side,2+1,73,2,1,2,20,30,15,True,True,True,False,True,Kombi,779678
Mersin,Erdemli,5+2,125,5,2,3,2,15,13,True,False,True,True,True,Merkezi,1423256
Kayseri,İncesu,1+1,38,1,1,1,25,4,3,True,True,True,False,False,Doğalgaz,300000
Kayseri,Talas,3+1,35,3,1,2,6,20,13,False,True,True,False,False,Doğalgaz,300000
Gaziantep,Oğuzeli,4+1,78,4,1,3,11,30,0,False,True,True,False,True,Doğalgaz,350404
Adana,Aladağ,5+1,126,5,1,3,45,25,5,False,True,True,True,False,Doğalgaz,462576
Antalya,Döşemealtı,1+0,35,1,0,1,13,6,0,False,False,False,True,True,Soba,421812
Adana,Kozan,1+0,35,1,0,1,11,25,10,False,False,False,False,False,Soba,300000
İzmir,Balçova,3+2,112,3,2,2,11,8,8,False,True,False,True,False,Soba,1206110
Ankara,Keçiören,5+1,76,5,1,3,14,25,9,False,True,False,False,False,Doğalgaz,721113
Adana,Aladağ,2+2,82,2,2,2,5,7,0,False,False,True,True,True,Klima,567531
Konya,Meram,2+1,59,2,1,2,42,4,1,False,False,True,True,False,Soba,300000
Adana,Sarıçam,1+1,48,1,1,1,23,20,4,False,False,False,True,True,Doğalgaz,300000
İzmir,Balçova,4+2,135,4,2,3,2,10,8,False,False,True,False,False,Kombi,1146552
Ankara,Yenimahalle,1+1,67,1,1,1,29,12,2,True,False,False,True,False,Soba,364150
İzmir,Menderes,2+1,57,2,1,2,6,8,8,True,True,True,False,True,Soba,891972
Mersin,Tarsus,5+1,100,5,1,3,22,12,12,True,True,False,False,False,Klima,446350
Gaziantep,Nizip,5+2,110,5,2,3,11,4,1,False,False,False,True,True,Kombi,574690
Gaziantep,İslahiye,1+0,35,1,0,1,8,4,4,True,True,False,True,False,Klima,300000
Antalya,Kepez,4+1,88,4,1,3,23,6,5,True,False,True,True,True,Kombi,1013890
Kayseri,Develi,5+1,112,5,1,3,31,20,1,True,True,False,True,False,Klima,523648
İstanbul,Bahçelievler,4+2,119,4,2,3,17,7,4,False,False,False,True,True,Kombi,1928139
Konya,Ereğli,3+2,75,3,2,2,15,12,3,True,False,False,False,False,Kombi,300000
Adana,Aladağ,4+2,118,4,2,3,9,4,2,True,False,False,True,True,Doğalgaz,922147
İstanbul,Pendik,2+2,78,2,2,2,7,20,13,False,False,True,True,False,Klima,1317567
Konya,Ereğli,4+1,104,4,1,3,3,12,0,False,True,True,False,True,Doğalgaz,648979
Antalya,Side,5+2,127,5,2,3,18,25,21,True,True,False,True,False,Elektrik,1418089
Adana,Kozan,2+2,75,2,2,2,16,8,0,True,False,False,True,False,Klima,426511
Konya,Akşehir,4+1,96,4,1,3,1,20,19,True,False,False,False,False,Kombi,625643
Bursa,Orhangazi,4+2,129,4,2,3,1,3,0,False,False,False,True,True,Soba,1336856
Kayseri,Talas,2+1,67,2,1,2,28,10,9,False,False,False,False,True,Soba,300000
Adana,Ceyhan,1+1,50,1,1,1,11,10,9,False,False,True,True,False,Kombi,318876
Mersin,Erdemli,5+2,117,5,2,3,38,10,2,True,True,True,True,False,Soba,683525
Gaziantep,Şehitkamil,2+2,66,2,2,2,20,30,6,False,True,True,True,False,Elektrik,405295
Konya,Akşehir,2+2,63,2,2,2,20,8,2,False,False,False,False,True,Kombi,300000
Antalya,Kaş,4+1,102,4,1,3,40,6,2,True,False,False,False,False,Klima,821280
Antalya,Aksu,1+1,52,1,1,1,19,20,17,False,True,False,True,False,Elektrik,611209
Ankara,Etimesgut,3+2,90,3,2,2,29,25,8,True,True,False,False,True,Doğalgaz,661369
Kayseri,Develi,3+1,72,3,1,2,30,6,0,True,True,True,True,False,Soba,301582
Konya,Meram,2+1,70,2,1,2,19,3,1,False,True,False,False,False,Elektrik,300000
İstanbul,Kadıköy,5+2,96,5,2,3,26,6,4,True,False,True,True,False,Merkezi,1411088
İzmir,Menderes,4+1,89,4,1,3,15,3,0,True,False,False,False,False,Kombi,604653
Mersin,Akdeniz,4+1,69,4,1,3,2,6,6,True,False,False,True,True,Elektrik,651412
Adana,Kozan,4+1,87,4,1,3,10,20,6,False,False,False,True,False,Elektrik,440024
Ankara,Yenimahalle,2+1,53,2,1,2,6,12,5,False,False,True,False,False,Soba,581337
Antalya,Kalkan,5+2,81,5,2,3,28,3,2,True,True,True,False,False,Kombi,556284
Gaziantep,Nurdağı,4+2,88,4,2,3,11,30,24,False,False,True,True,True,Merkezi,527685
İzmir,Balçova,5+2,122,5,2,3,30,8,6,False,True,True,True,False,Klima,1193838
Adana,Seyhan,5+2,134,5,2,3,48,4,0,True,True,True,False,False,Doğalgaz,530215
Bursa,Kestel,1+1,46,1,1,1,32,15,14,False,True,False,False,True,Klima,300000
Konya,Beyşehir,4+1,82,4,1,3,18,30,0,True,True,True,True,False,Soba,413208
Ankara,Polatlı,1+0,35,1,0,1,2,4,3,False,True,True,False,False,Merkezi,381572
Konya,Ereğli,2+2,87,2,2,2,8,4,4,True,True,False,True,True,Doğalgaz,827551
İstanbul,Pendik,3+2,89,3,2,2,24,25,23,False,True,True,False,False,Kombi,1136080
Antalya,Döşemealtı,1+1,53,1,1,1,21,3,3,True,True,True,True,True,Merkezi,683184
Kayseri,Melikgazi,3+1,74,3,1,2,19,30,1,True,True,True,True,False,Kombi,442256
Kayseri,Talas,5+2,117,5,2,3,8,20,10,True,True,False,False,False,Doğalgaz,578023
Mersin,Tarsus,2+1,59,2,1,2,20,25,21,False,True,False,False,False,Elektrik,310624
Gaziantep,Nizip,2+1,76,2,1,2,10,7,6,False,True,True,False,True,Merkezi,556038
İstanbul,Esenler,2+2,113,2,2,2,22,10,8,False,True,False,True,False,Elektrik,1198203
Ankara,Gölbaşı,5+1,111,5,1,3,27,4,4,True,False,False,True,True,Kombi,1113735
Kayseri,Develi,3+1,102,3,1,2,41,12,3,False,True,True,True,True,Elektrik,512776
Konya,Karatay,5+2,95,5,2,3,17,30,6,False,False,False,False,False,Soba,334940
Antalya,Alanya,4+2,59,4,2,3,5,12,7,False,False,True,False,False,Merkezi,630599
İstanbul,Gaziosmanpaşa,3+1,60,3,1,2,2,30,4,False,False,True,True,False,Kombi,1103798
Gaziantep,İslahiye,3+1,75,3,1,2,28,12,8,False,False,False,False,True,Elektrik,332145
Adana,Yüreğir,2+1,70,2,1,2,17,30,17,True,True,True,True,True,Merkezi,467567
İzmir,Seferihisar,3+1,58,3,1,2,1,4,1,False,False,True,False,False,Doğalgaz,672778
İstanbul,Esenler,4+2,75,4,2,3,4,10,0,False,False,True,False,True,Doğalgaz,1652299
Ankara,Polatlı,2+1,72,2,1,2,25,6,1,False,False,False,False,True,Soba,532518
Gaziantep,Nizip,5+2,75,5,2,3,8,6,5,True,True,True,False,False,Merkezi,522799
Mersin,Akdeniz,1+0,35,1,0,1,27,25,0,True,False,False,False,True,Klima,300000
İstanbul,Zeytinburnu,3+1,48,3,1,2,24,30,28,False,True,True,False,True,Kombi,631126
Adana,Seyhan,3+1,71,3,1,2,43,20,4,True,False,True,True,False,Elektrik,324902
Mersin,Toroslar,2+2,71,2,2,2,33,30,4,False,True,True,False,True,Doğalgaz,405670
Adana,Aladağ,5+2,90,5,2,3,41,20,12,True,False,False,False,True,Soba,372886
Mersin,Akdeniz,2+2,80,2,2,2,24,5,5,True,False,True,True,True,Soba,579981
İzmir,Narlıdere,2+1,67,2,1,2,13,30,12,True,True,True,False,False,Soba,546679
Antalya,Kepez,2+1,40,2,1,2,19,4,1,False,True,True,True,False,Klima,541593
Ankara,Beypazarı,5+2,122,5,2,3,2,8,6,False,False,True,True,True,Elektrik,1688657
Gaziantep,Şehitkamil,2+1,77,2,1,2,14,7,4,True,True,True,False,False,Merkezi,377277
Antalya,Side,1+1,58,1,1,1,9,8,4,True,False,True,True,False,Doğalgaz,767615
Gaziantep,Oğuzeli,5+2,162,5,2,3,18,10,5,False,True,False,False,True,Merkezi,929375
Adana,Yüreğir,2+2,75,2,2,2,29,8,4,True,False,False,False,False,Soba,303161
Ankara,Beypazarı,3+1,80,3,1,2,10,20,17,True,False,True,False,False,Elektrik,1082596
Ankara,Pursaklar,3+2,73,3,2,2,12,5,5,False,True,False,False,True,Merkezi,961032
Kayseri,İncesu,5+2,139,5,2,3,24,10,8,True,False,True,True,True,Elektrik,595194
Adana,Yüreğir,5+2,87,5,2,3,41,3,3,False,True,True,True,False,Kombi,300000
Mersin,Erdemli,4+2,97,4,2,3,18,15,7,False,False,True,False,True,Merkezi,632470
Ankara,Sincan,2+2,102,2,2,2,35,4,0,False,False,False,False,True,Klima,733651
Konya,Selçuklu,3+2,120,3,2,2,29,4,3,False,True,False,True,True,Doğalgaz,451339
Adana,Ceyhan,1+1,35,1,1,1,7,25,25,True,True,False,False,False,Kombi,300000
Gaziantep,Nurdağı,2+1,63,2,1,2,29,5,5,False,True,True,False,False,Merkezi,300000
İstanbul,Bakırköy,3+1,41,3,1,2,21,7,1,True,False,False,True,False,Doğalgaz,491450
Antalya,Side,4+2,76,4,2,3,24,25,10,False,True,False,False,False,Klima,647449
İzmir,Seferihisar,4+1,89,4,1,3,5,20,18,True,False,True,True,False,Doğalgaz,991594
İzmir,Gaziemir,2+1,52,2,1,2,20,15,12,True,False,False,True,False,Elektrik,354908
Mersin,Erdemli,2+1,58,2,1,2,18,15,5,True,True,False,False,True,Soba,395226
İstanbul,Bahçelievler,2+1,47,2,1,2,20,6,6,False,False,False,False,False,Merkezi,550345
İzmir,Karşıyaka,5+2,102,5,2,3,11,3,1,False,True,False,True,False,Klima,1186404
Konya,Akşehir,4+2,100,4,2,3,2,4,4,False,True,False,True,False,Doğalgaz,571518
Bursa,Gemlik,1+0,35,1,0,1,11,12,4,False,True,True,True,False,Elektrik,300000
Kayseri,İncesu,2+1,82,2,1,2,37,20,4,True,True,False,False,True,Soba,376910
Antalya,Aksu,5+2,98,5,2,3,9,7,1,True,False,True,True,True,Kombi,1622061
Adana,Kozan,3+1,69,3,1,2,17,25,12,False,False,False,False,True,Elektrik,333991
Ankara,Pursaklar,4+2,115,4,2,3,28,30,8,False,False,False,True,True,Elektrik,1102810
Konya,Beyşehir,5+1,84,5,1,3,17,4,4,False,True,False,False,False,Soba,346781
Adana,Aladağ,5+2,108,5,2,3,46,5,4,False,True,True,True,False,Doğalgaz,330485
Ankara,Yenimahalle,3+2,63,3,2,2,17,12,0,True,False,True,False,True,Elektrik,788570
Adana,Çukurova,1+1,62,1,1,1,3,8,2,False,True,False,True,True,Doğalgaz,485234
Bursa,Kestel,1+1,52,1,1,1,10,5,4,False,True,True,False,True,Merkezi,537220
İzmir,Balçova,1+1,75,1,1,1,5,6,3,True,True,False,False,False,Kombi,899718
Gaziantep,Şehitkamil,2+1,57,2,1,2,21,4,4,True,False,False,True,True,Merkezi,300000
Kayseri,İncesu,3+1,48,3,1,2,6,4,0,False,False,False,False,True,Kombi,300000
Antalya,Kepez,3+1,60,3,1,2,31,15,9,False,True,True,False,False,Elektrik,383663
İstanbul,Zeytinburnu,3+2,79,3,2,2,9,10,1,True,True,False,False,True,Merkezi,1144257
Kayseri,İncesu,5+1,127,5,1,3,46,15,5,True,True,True,True,False,Kombi,705687
İstanbul,Şişli,2+2,78,2,2,2,30,15,9,False,False,False,True,True,Soba,1477403
Ankara,Sincan,1+1,47,1,1,1,35,15,6,False,False,True,False,False,Elektrik,300000
Bursa,Osmangazi,3+1,92,3,1,2,3,4,3,True,False,True,True,True,Elektrik,1257557
İzmir,Menderes,1+0,35,1,0,1,15,5,3,False,True,False,True,False,Elektrik,320466
Ankara,Çankaya,5+1,78,5,1,3,21,10,4,False,True,False,False,False,Doğalgaz,618342
Konya,Akşehir,2+1,69,2,1,2,11,8,2,True,True,True,True,True,Kombi,689016
İstanbul,Bahçelievler,5+1,68,5,1,3,6,10,2,False,True,False,True,False,Elektrik,1224171
Adana,Çukurova,1+1,40,1,1,1,4,20,11,True,True,True,True,False,Doğalgaz,300000
Konya,Selçuklu,4+1,73,4,1,3,24,8,1,True,False,True,False,False,Elektrik,300000
Kayseri,Kocasinan,3+2,91,3,2,2,37,8,7,True,True,True,False,True,Kombi,440557
Mersin,Toroslar,1+0,35,1,0,1,43,8,0,False,True,True,True,False,Merkezi,300000
İstanbul,Beyoğlu,4+1,79,4,1,3,10,4,0,False,False,False,True,True,Klima,1423641
İzmir,Foça,2+2,69,2,2,2,21,4,4,False,True,True,False,False,Soba,659921
Gaziantep,Nurdağı,5+1,104,5,1,3,12,8,7,True,True,True,True,True,Doğalgaz,661238
İzmir,Balçova,3+2,92,3,2,2,4,8,6,False,True,False,False,False,Soba,997681
Ankara,Keçiören,2+1,39,2,1,2,50,25,9,True,True,False,True,True,Elektrik,411878
Bursa,İnegöl,2+2,68,2,2,2,28,15,1,False,True,True,False,False,Klima,437177
Mersin,Mezitli,1+1,39,1,1,1,35,12,1,True,True,True,True,True,Kombi,300000
Gaziantep,Oğuzeli,1+1,35,1,1,1,11,20,18,True,True,True,False,True,Doğalgaz,300000
Adana,Seyhan,1+0,35,1,0,1,10,12,0,False,False,False,True,False,Elektrik,300000
Gaziantep,Şehitkamil,5+1,107,5,1,3,13,6,1,False,True,True,True,False,Merkezi,440421
Gaziantep,İslahiye,3+2,89,3,2,2,14,3,0,True,False,True,True,True,Merkezi,425800
Adana,Sarıçam,4+2,89,4,2,3,25,12,5,False,False,False,True,True,Soba,432926
Kayseri,Kocasinan,1+0,35,1,0,1,46,7,0,False,True,True,True,True,Elektrik,300000
Bursa,Gemlik,4+2,123,4,2,3,38,30,1,False,False,True,True,True,Klima,850229
Adana,Kozan,5+1,110,5,1,3,28,20,0,True,True,False,False,True,Merkezi,396837
İstanbul,Kadıköy,1+0,35,1,0,1,6,6,4,False,True,False,True,True,Soba,1080776
İzmir,Torbalı,5+1,48,5,1,3,10,3,0,True,True,False,True,False,Elektrik,427246
Gaziantep,İslahiye,1+1,52,1,1,1,12,8,4,True,False,False,False,True,Elektrik,300000
Mersin,Erdemli,5+2,123,5,2,3,30,8,3,True,False,False,False,True,Kombi,517528
İstanbul,Gaziosmanpaşa,2+2,80,2,2,2,10,20,1,False,True,True,False,True,Soba,1415900
Ankara,Mamak,5+1,117,5,1,3,26,8,2,False,False,True,False,True,Kombi,1056365
Ankara,Etimesgut,4+1,88,4,1,3,3,4,0,False,False,True,False,False,Merkezi,872499
Adana,Aladağ,2+2,71,2,2,2,49,4,3,True,True,False,True,True,Soba,356086
İstanbul,Kartal,4+1,89,4,1,3,12,4,0,False,True,True,True,False,Klima,1301070
Kayseri,İncesu,1+0,35,1,0,1,10,10,10,False,True,True,True,False,Kombi,328203
Bursa,Orhangazi,4+2,120,4,2,3,30,30,29,False,False,False,True,True,Doğalgaz,816488
Gaziantep,İslahiye,4+2,127,4,2,3,2,12,2,True,False,True,False,False,Kombi,665873
Ankara,Çankaya,3+1,42,3,1,2,11,5,5,False,True,False,False,False,Merkezi,469416
Antalya,Kepez,4+2,64,4,2,3,14,10,2,False,True,False,True,False,Merkezi,679550
Konya,Selçuklu,3+1,71,3,1,2,6,7,0,True,False,False,True,True,Merkezi,578780
Mersin,Akdeniz,4+2,109,4,2,3,22,25,15,False,False,True,False,True,Klima,569559
